0.01,0.01,0.97,-0.26,0.72,0.57,26.21,2.35,-4.92,0.00,0.00,0.94,0.08,0.53,0.33,686.91,198.02,867.07,599,581,100,
0.01,0.01,0.97,-0.24,0.68,0.53,26.05,2.40,-4.99,0.00,0.00,0.94,0.07,0.48,0.28,678.75,199.70,861.12,594,590,101,
0.01,0.01,0.97,-0.22,0.67,0.53,25.89,2.38,-4.94,0.00,0.00,0.94,0.07,0.47,0.29,670.18,199.83,857.77,599,582,101,
0.01,0.01,0.97,-0.18,0.71,0.54,25.81,2.35,-4.90,0.00,0.00,0.94,0.11,0.55,0.31,666.27,198.10,857.98,598,587,100,
-0.00,-0.01,0.97,-0.17,1.48,-10.53,25.78,1.70,-5.15,0.01,0.00,0.94,78.51,104.00,385.45,667.25,122.34,942.06,593,588,100,
0.01,0.02,0.97,-0.25,0.70,1.69,23.04,2.60,-8.06,0.00,0.00,0.94,1.85,10.98,91.09,538.19,239.03,2232.49,592,595,101,
0.01,0.02,0.97,-0.13,0.68,0.50,22.21,2.77,-8.05,0.00,0.00,0.94,0.08,0.51,0.26,493.64,264.95,2240.48,594,589,101,
0.01,0.02,0.97,-0.13,0.68,0.51,22.28,2.80,-8.01,0.00,0.00,0.94,0.45,0.48,0.27,496.46,275.45,2258.88,599,584,101,
0.02,0.02,0.97,-0.12,0.70,0.50,22.03,2.82,-7.93,0.00,0.00,0.94,0.44,0.59,0.26,485.39,282.20,2227.07,595,599,100,
0.02,0.02,0.97,-0.08,0.68,0.52,22.19,2.83,-8.07,0.00,0.00,0.94,0.02,0.49,0.27,492.47,276.67,2255.21,594,589,101,
0.04,-0.03,0.97,0.08,0.94,5.12,21.64,2.72,-8.32,0.00,0.00,0.95,64.44,119.97,250.29,474.48,258.42,2395.07,594,581,101,
-0.01,0.08,0.96,-1.42,4.70,31.35,47.43,4.17,-8.23,0.00,0.01,0.93,54.85,113.97,1239.28,2431.75,626.75,2359.35,596,587,101,
0.09,0.08,0.96,-0.01,1.72,-4.33,60.75,2.19,-7.67,0.02,0.01,0.92,75.31,80.74,468.54,3693.16,179.60,2078.29,594,591,100,
0.16,0.08,0.95,0.04,1.58,10.58,58.74,2.80,-7.07,0.03,0.01,0.91,45.31,63.07,628.62,3453.00,298.61,1804.42,601,597,100,
0.08,0.11,0.95,-0.07,0.37,-10.08,58.72,3.48,-7.93,0.01,0.02,0.91,73.14,141.58,1185.96,3453.10,445.63,2220.42,600,591,101,
0.10,0.11,0.96,0.45,1.37,4.26,60.28,3.99,-7.40,0.02,0.02,0.93,68.47,169.35,1007.75,3638.47,564.86,1927.20,593,592,100,
0.07,0.14,0.96,-0.67,0.08,-0.16,60.37,3.99,-7.64,0.02,0.03,0.94,105.91,172.43,696.39,3647.35,568.62,2073.51,602,583,101,
0.11,0.11,0.96,1.88,1.65,4.57,57.45,4.44,-8.03,0.02,0.02,0.93,61.18,160.46,1116.30,3304.54,689.78,2183.33,587,586,101,
0.09,0.08,0.95,-0.01,2.09,13.27,56.65,4.05,-9.00,0.02,0.01,0.93,90.60,216.52,1523.09,3217.84,620.37,2790.67,590,589,101,
0.10,0.13,0.95,-0.27,1.30,4.70,37.34,1.72,-7.18,0.02,0.02,0.91,116.83,118.69,1443.53,1429.09,117.75,1840.32,597,591,100,
0.07,0.10,0.94,1.89,1.45,2.05,32.02,2.59,-5.62,0.02,0.02,0.92,133.42,146.98,1113.85,1029.44,238.89,1095.51,594,592,101,
0.06,-0.00,0.95,-2.28,0.71,-7.54,45.57,1.78,-7.01,0.02,0.02,0.93,142.18,179.00,722.59,2101.86,115.83,1741.10,594,585,100,
-0.00,0.09,0.95,0.32,0.68,-2.36,54.41,2.42,-7.34,0.02,0.01,0.95,119.84,121.12,496.67,2961.96,210.95,1937.91,600,584,100,
0.02,0.08,0.96,-0.56,2.14,-0.04,55.46,2.72,-7.37,0.02,0.01,0.97,132.47,137.67,522.51,3076.54,266.10,1935.21,597,595,100,
0.03,0.07,0.95,-1.01,0.93,-0.33,55.68,2.70,-7.38,0.02,0.01,0.95,108.84,160.51,337.98,3100.87,262.20,1948.86,598,594,100,
0.08,0.06,0.96,-1.21,1.97,3.57,55.37,2.53,-7.12,0.02,0.01,0.96,117.42,125.28,531.45,3066.29,228.20,1797.72,595,594,100,
0.03,0.09,0.96,-0.20,0.43,0.63,55.36,2.30,-7.14,0.02,0.02,0.95,111.43,99.39,472.77,3065.53,190.68,1838.39,600,581,100,
0.04,0.11,0.95,-0.79,1.95,2.68,53.01,2.03,-6.97,0.02,0.02,0.94,137.86,147.66,495.67,2811.10,145.60,1709.29,593,588,100,
0.04,0.10,0.97,0.42,2.40,3.64,51.46,1.76,-6.97,0.01,0.02,0.97,174.20,109.22,501.63,2652.96,107.86,1686.34,595,589,101,
0.08,0.08,0.95,-0.67,2.21,5.28,43.95,1.46,-6.82,0.02,0.01,0.93,78.45,97.12,239.31,1936.97,77.59,1680.31,601,589,100,
0.09,0.09,0.95,-0.16,0.32,4.23,38.15,1.49,-6.69,0.02,0.01,0.92,44.94,45.85,305.04,1460.22,78.94,1585.72,601,584,101,
0.00,0.09,0.96,-0.89,0.81,1.50,37.47,1.22,-6.48,0.01,0.01,0.94,49.43,91.81,248.74,1405.17,54.71,1513.85,600,582,100,
0.02,0.10,0.96,-0.88,2.56,1.10,36.52,1.41,-6.55,0.01,0.01,0.94,133.79,112.17,116.33,1334.42,69.84,1496.79,596,581,101,
0.09,0.02,0.96,0.21,0.66,-0.20,37.53,1.14,-6.79,0.02,0.01,0.93,83.44,125.76,148.56,1409.26,46.29,1613.06,597,589,101,
0.03,0.05,0.96,-1.30,0.74,0.68,37.03,1.62,-6.59,0.02,0.01,0.94,183.49,159.36,401.37,1373.42,96.12,1542.73,596,591,100,
0.04,0.13,0.96,-1.23,2.34,2.09,37.15,1.75,-6.44,0.01,0.02,0.93,72.90,74.81,198.05,1380.66,109.04,1463.94,594,592,100,
0.06,0.11,0.95,-0.40,1.78,-2.30,37.12,1.71,-6.42,0.01,0.02,0.91,66.10,59.18,203.02,1378.37,107.42,1500.30,603,597,100,
0.06,0.12,0.95,-0.32,0.12,0.33,36.92,1.61,-6.44,0.01,0.02,0.92,89.48,76.52,200.98,1364.05,94.19,1484.93,598,583,100,
-0.02,0.10,0.96,-0.56,0.85,-4.51,42.10,1.07,-6.56,0.01,0.02,0.94,124.41,169.95,577.73,1788.53,45.17,1530.33,596,583,100,
-0.04,0.09,0.97,-0.77,1.48,3.05,43.46,0.92,-6.66,0.01,0.01,0.95,68.48,138.90,441.10,1891.41,30.83,1558.39,593,584,100,
-0.01,0.06,0.96,-0.76,0.37,-1.59,41.72,0.97,-6.50,0.01,0.01,0.95,73.36,188.51,367.14,1742.74,33.95,1502.94,596,583,100,
-0.06,0.08,0.96,-1.03,2.47,8.99,37.16,2.68,-6.18,0.01,0.01,0.92,59.92,28.20,1868.17,1389.41,295.75,1338.35,598,591,101,
0.05,0.01,0.97,-0.75,1.62,-12.15,53.74,1.20,-6.81,0.00,0.00,0.95,17.42,48.54,1295.45,2903.17,52.85,1669.30,600,592,100,
0.03,0.06,0.97,-2.04,-0.71,-0.46,53.97,1.29,-6.84,0.01,0.01,0.94,39.21,23.84,522.19,2916.04,60.26,1634.61,597,594,101,
-0.06,0.04,0.97,0.72,1.72,-1.34,59.23,2.28,-7.13,0.01,0.01,0.95,132.52,70.33,530.75,3508.65,185.02,1774.51,591,588,100,
0.02,0.07,0.97,-0.87,2.78,8.15,54.38,1.37,-6.77,0.01,0.01,0.95,143.45,101.02,459.59,2968.03,71.71,1644.79,599,594,100,
0.07,0.07,0.97,0.22,1.32,1.16,50.15,0.97,-6.76,0.01,0.02,0.97,193.46,193.36,792.34,2519.18,34.33,1624.28,596,592,100,
-0.01,0.05,0.97,-0.35,0.63,1.15,49.80,0.84,-6.86,0.01,0.01,0.96,151.99,153.60,132.90,2480.23,25.48,1666.45,601,593,101,
